Timp,Unghi_SubAmortizat,Viteza_SubAmortizat
0.0,0.7853981633974483,0.0
0.010003334444814937,0.7852246932298432,-0.034675784499011805
0.020006668889629875,0.784704572608242,-0.0693048820213208
0.030010003334444812,0.7838383290767472,-0.10387529655254978
0.04001333777925975,0.7826266095637964,-0.13837505369817776
0.05001667222407469,0.7810701807514936,-0.17279218025222395
0.060020006668889625,0.7791699292178192,-0.20711469394153426
0.07002334111370456,0.776926861402255,-0.24133059445543384
0.0800266755585195,0.7743421037300127,-0.27542785709924134
0.09003001000333444,0.7714169034527638,-0.30939442889485247
0.10003334444814937,0.7681526281801603,-0.34321821664486274
0.11003667889296431,0.7645507669930279,-0.37688708452957
0.12004001333777925,0.7606129305210242,-0.41038884593906977
0.1300433477825942,0.7563408514484092,-0.44371125796306843
0.14004668222740912,0.7517363855194615,-0.47684201882954197
0.15005001667222406,0.7468015115357627,-0.5097687591648674
0.160053351117039,0.7415383326245653,-0.5424790432552844
0.17005668556185394,0.7359490765523968,-0.5749603615770201
0.18006002000666887,0.730036096596907,-0.6072001308498544
0.1900633544514838,0.7238018723949878,-0.6391856928669004
0.20006668889629875,0.7172490104237229,-0.6709043076542281
0.2100700233411137,0.7103802449319312,-0.7023431567050722
0.22007335778592862,0.7031984388159852,-0.7334893490206734
0.23007669223074356,0.6957065846039122,-0.7643299162381949
0.2400800266755585,0.6879078052251527,-0.7948518169207739
0.25008336112037344,0.6798053535152525,-0.8250419348728576
0.2600866955651884,0.6714026142317188,-0.8548870876178883
0.2700900300100033,0.6627031046437204,-0.8843740304706847
0.28009336445481825,0.6537104743654651,-0.9134894611024569
0.2900966988996332,0.6444285063909271,-0.9422200262090759
0.3001000333444481,0.6348611178465335,-0.9705523288254101
0.31010336778926306,0.6250123598382572,-0.9984729370313825
0.320106702234078,0.6148864177642872,-1.0259683931427095
0.33011003667889294,0.6044876120799602,-1.053025223139858
0.3401133711237079,0.5938203980611823,-1.079629947979554
0.3501167055685228,0.582889365390675,-1.1057690957267379
0.36012004001333775,0.5716992387781292,-1.1314292139571953
0.3701233744581527,0.5602548774883226,-1.1565968834225548
0.3801267089029676,0.5485612743268838,-1.1812587319040933
0.39013004334778256,0.536623555814356,-1.205401450099864
0.4001333777925975,0.5244469814228678,-1.2290118075166063
0.41013671223741244,0.51203694174927,-1.2520766666662202
0.4201400466822274,0.4993989585400087,-1.2745830031273344
0.4301433811270423,0.4865386837287882,-1.2965179242179727
0.44014671557185725,0.4734618981013886,-1.3178686878652976
0.4501500500166722,0.46017450916464575,-1.3386227195777023
0.4601533844614871,0.4466825467261362,-1.3587676221539295
0.47015671890630206,0.43299216499608806,-1.3782912110878065
0.480160053351117,0.41910963948831986,-1.397181531819181
0.49016338779593194,0.4050413646740479,-1.4154268811007795
0.5001667222407469,0.39079385006795475,-1.4330158169478846
0.5101700566855618,0.37637371689341176,-1.4499371751967476
0.5201733911303767,0.3617876976689563,-1.4661801114428068
0.5301767255751917,0.34704263203736974,-1.4817341148318144
0.5401800600200066,0.33214546345369855,-1.4965890303184162
0.5501833944648216,0.3171032344307718,-1.5107350592084048
0.5601867289096365,0.30192308328400563,-1.5241627898471708
0.5701900633544514,0.28661224045173184,-1.53686322456601
0.5801933977992664,0.2711780240461489,-1.5488277943769315
0.5901967322440813,0.2556278364338287,-1.5600483754989691
0.6002000666888962,0.23996915881813302,-1.5705173112398327
0.6102034011337112,0.22420954654503997,-1.5802274309750828
0.6202067355785261,0.20835662427867133,-1.5891720635519968
0.6302100700233411,0.19241808084952014,-1.5973450373527243
0.640213404468156,0.1764016639652705,-1.6047407156550877
0.6502167389129709,0.16031517469030584,-1.6113540061529767
0.6602200733577859,0.14416646249439952,-1.6171803686477284
0.6702234078026008,0.12796342028844612,-1.6222158216887825
0.6802267422474157,0.11171397721780799,-1.626456963969744
0.6902300766922307,0.09542609320673384,-1.6299009806237463
0.7002334111370456,0.07910775399933533,-1.6325456430686416
0.7102367455818606,0.06276696492553735,-1.6343893170745185
0.7202400800266755,0.046411743943564315,-1.6354309745883469
0.7302434144714904,0.030050115817301964,-1.6356701947293846
0.7402467489163054,0.013690107758953768,-1.6351071590044777
0.7502500833611203,-0.0026602580762215555,-1.63374265734215
0.7602534178059352,-0.018992971195205956,-1.6315780890001774
0.7702567522507502,-0.03530003845054402,-1.628615458910772
0.7802600866955651,-0.051573488218140215,-1.6248573699570668
0.7902634211403801,-0.06780537862680976,-1.6203070225057739
0.800266755585195,-0.08398780343065217,-1.6149682074424763
0.8102700900300099,-0.10011289712289567,-1.60884529805811
0.8202734244748249,-0.11617283910385748,-1.6019432408401277
0.8302767589196398,-0.13215986244187206,-1.5942675452962276
0.8402800933644547,-0.14806625886891006,-1.5858242720651685
0.8502834278092697,-0.1638843838944148,-1.5766200206852201
0.8602867622540846,-0.17960665875570514,-1.5666619202241234
0.8702900966988996,-0.1952255799021223,-1.555957608610738
0.8802934311437145,-0.21073372348084876,-1.544515217146881
0.8902967655885294,-0.226123750018378,-1.5323433539972882
0.9003001000333444,-0.24138840639476286,-1.5194510978522529
0.9103034344781593,-0.25652053298561256,-1.5058479691688835
0.9203067689229742,-0.27151306839319395,-1.4915439095432348
0.9303101033677892,-0.286359053359545,-1.4765492628985044
0.9403134378126041,-0.30105163273045843,-1.4608747690043196
0.9503167722574191,-0.31558406028842234,-1.4445315360028226
0.960320106702234,-0.3299497035273841,-1.4275310114168496
0.9703234411470489,-0.34414204653100483,-1.4098849638713216
0.9803267755918639,-0.35815469222850604,-1.3916054728195788
